...1,TPR_mean,TPR_SD,FDR_mean,FDR_SD,L2_mean,L2_SD,MSPE_mean,MSPE_SD,config,a,number_of_simulations,method,method_id,source_file
1,0.50175,0.0758166814884376,0.312169678820078,0.101077372939819,8.07062207490247,1.53751491056781,7.31695411603685,1.49079402126134,(ii),0.1,100,SVI,(III),SVI_results_0.1_(ii).csv
1,0.498,0.207914123686398,0.159619047619048,0.21277295112272,2.41643980177059,0.967716583073057,2.49372462889627,0.917404215187466,(iii),0.1,100,SVI,(III),SVI_results_0.1_(iii).csv
1,0.4925,0.11489454980876,0.0402134670884671,0.0608999384492076,5.06737677627825,1.36551128602432,4.92459815883828,1.33006625256039,(iv),0.1,100,SVI,(III),SVI_results_0.1_(iv).csv
1,0.463,0.148157028353383,0.121107142857143,0.134783122433947,3.70782477945909,1.07905895778339,3.49478934699168,0.973270281870035,(i),0.25,100,SVI,(III),SVI_results_0.25_(i).csv
1,0.48925,0.0767271665110089,0.320503641074586,0.102943380076099,8.01086561457613,1.6100787441996,7.23290832484599,1.57688751239494,(ii),0.25,100,SVI,(III),SVI_results_0.25_(ii).csv
1,0.52,0.229183883650776,0.102333333333333,0.167724253954992,2.32554104722746,0.980618408361582,2.39903207151465,0.880264250913064,(iii),0.25,100,SVI,(III),SVI_results_0.25_(iii).csv
1,0.504,0.114521401996096,0.0315382672882673,0.0624576178854985,5.06086699546629,1.25792633452752,4.91487230284403,1.20393602708663,(iv),0.25,100,SVI,(III),SVI_results_0.25_(iv).csv
1,0.475,0.141688946554619,0.127722222222222,0.14193179430993,3.50418294664112,1.04994554530782,3.34336929415872,0.933896157691247,(i),0.5,100,SVI,(III),SVI_results_0.5_(i).csv
1,0.486,0.0711840692653329,0.331876017063771,0.0917860471951681,8.03916284577568,1.45284125964989,7.24702215089761,1.39670266723383,(ii),0.5,100,SVI,(III),SVI_results_0.5_(ii).csv
1,0.5,0.222928171609085,0.153380952380952,0.220779739033052,2.38051232755462,1.1085437507601,2.43976469767304,0.995582103915019,(iii),0.5,100,SVI,(III),SVI_results_0.5_(iii).csv
1,0.4945,0.110530173219439,0.0364382561882562,0.0574561984191333,5.15891236150801,1.23695281183681,4.99422483984288,1.20182135144927,(iv),0.5,100,SVI,(III),SVI_results_0.5_(iv).csv
1,0.52,0.153741222957161,0.0991388888888889,0.11784145335592,3.322245646768,1.01452000895738,3.14890259064237,0.892155769103927,(i),0.9,100,SVI,(III),SVI_results_0.9_(i).csv
1,0.50425,0.0720422680364686,0.303234349283632,0.0918607527551316,8.07294530828838,1.4364898035798,7.35557768602507,1.41225445211308,(ii),0.9,100,SVI,(III),SVI_results_0.9_(ii).csv
